applicationId,municipality,time,timeToVerdict,filling-time
LP-106-2016-00655,106,54320,8247,39316
LP-092-2015-00228,092,62126,84936,4295
LP-092-2015-00491,092,70373,69987,57652
LP-444-2015-00141,444,57550,16155,31114
LP-092-2015-00495,092,73191,21939,11250
LP-092-2016-04661,092,68281,0,18437
LP-092-2015-00250,092,56267,17700,22738
LP-092-2016-00281,092,63938,69477,7274
LP-106-2015-01239,106,73537,74157,3376
LP-106-2015-00342,106,7611,16528,86261
LP-444-2016-00324,444,22425,1668,1821
LP-092-2015-00259,092,79176,74512,79673
LP-837-2016-01486,837,60102,0,17697
LP-837-2016-00480,837,67011,76486,630
LP-837-2016-01480,837,76153,0,11635
LP-092-2016-03508,092,72037,6623,24995
LP-837-2016-01483,837,64453,0,23366
LP-106-2015-00228,106,16688,55277,55877
LP-092-2016-00840,092,69351,13370,7534
LP-837-2016-01561,837,81298,0,8863
LP-837-2016-00891,837,36165,68288,21530
LP-092-2016-02404,092,3984,74905,78624
LP-837-2016-00898,837,19484,1983,68777
LP-092-2016-01399,092,45842,58316,14578
LP-837-2016-00141,837,64061,9843,11447
LP-186-2016-00283,186,45965,82353,21337
LP-106-2015-00835,106,85390,77241,5197
LP-444-2016-00456,444,3,65903,63055
LP-092-2016-00061,092,41329,9322,31418
LP-092-2016-00062,092,82155,11069,70277
LP-092-2016-00063,092,1618,75026,77158
LP-092-2016-01166,092,77403,66544,73786
LP-092-2015-01880,092,82343,2205,70638
LP-186-2015-00622,186,13113,80606,1722
LP-092-2015-02991,092,77510,67518,56385
LP-444-2015-00818,444,11580,17155,75788
LP-186-2016-00949,186,58492,0,22145
LP-092-2015-02852,092,1554,10590,84167
LP-092-2016-03368,092,81073,8596,20383
LP-186-2016-00172,186,65711,58489,4639
LP-092-2015-00089,092,51981,58418,5455
LP-092-2016-00718,092,5782,5007,4451
LP-092-2016-02885,092,11581,85468,8002
LP-837-2016-00941,837,3569,0,70828
LP-186-2015-00583,186,8384,75912,68172
LP-092-2016-01305,092,85136,67691,9620
LP-837-2016-00862,837,66547,68410,4678
LP-186-2016-00588,186,52522,58647,5619
LP-837-2016-00216,837,5513,2657,76446
LP-092-2016-03041,092,45655,6180,34818
LP-837-2016-00208,837,20509,72015,49246
LP-092-2016-03409,092,27003,0,58323
LP-106-2015-00019,106,5413,44564,7391
LP-092-2015-01531,092,51534,84462,24278
LP-092-2016-01439,092,68764,0,11997
LP-186-2015-00489,186,68638,81015,83780
LP-092-2015-01102,092,5190,54281,69393
LP-092-2015-00043,092,76793,14540,11071
LP-092-2015-00042,092,45935,57332,1371
LP-092-2015-00046,092,12351,43142,42544
LP-092-2015-00135,092,65247,0,82649
LP-092-2015-00137,092,83141,6390,81198
LP-092-2015-01036,092,31715,45177,83681
LP-092-2015-00133,092,71400,84432,2250
LP-837-2016-01285,837,57909,61804,83821
LP-092-2015-00032,092,86110,897,1334
LP-092-2016-03219,092,51296,0,35002
LP-092-2015-00916,092,76959,16846,10510
LP-444-2015-00888,444,85057,79400,79112
LP-092-2016-02036,092,36741,11906,18687
LP-092-2015-01992,092,84821,81540,61310
LP-092-2016-02033,092,17705,81860,70838
LP-106-2015-00156,106,78422,4593,51069
LP-186-2015-00416,186,69438,4697,19013
LP-092-2015-01621,092,75284,82826,9866
LP-092-2015-01772,092,83260,9232,8718
LP-092-2016-00648,092,75009,66780,81019
LP-092-2015-01747,092,67736,3986,11587
LP-092-2015-01746,092,69792,4015,79056
LP-106-2015-00499,106,69234,0,28404
LP-092-2015-00614,092,51286,74834,14876
