applicationId,municipality,time,filling-time
LP-224-2015-00036,224,36538,17725
LP-224-2015-00031,224,79639,979
LP-208-2015-00148,208,70447,7228
LP-224-2015-00039,224,83887,74583
LP-224-2015-00038,224,83948,74710
LP-536-2016-00078,536,5904,6001
LP-543-2016-00046,543,85757,77799
LP-092-2015-00614,092,51286,14876
LP-245-2014-00086,245,57706,18115
LP-092-2016-00061,092,41329,31418
LP-092-2016-00062,092,82155,70277
LP-092-2016-00063,092,1618,77158
LP-092-2015-01880,092,82343,70638
LP-257-2015-00073,257,2287,85420
LP-908-2015-00096,908,8633,80740
LP-858-2015-00275,858,72049,84943
LP-092-2015-02991,092,77510,56385
LP-444-2015-00818,444,11580,75788
LP-092-2015-02852,092,1554,84167
LP-734-2015-00062,734,21484,64620
LP-092-2016-00277,092,75079,3125
LP-092-2015-00089,092,51981,5455
LP-092-2016-00718,092,5782,4451
LP-297-2016-00041,297,5191,76784
LP-297-2016-00040,297,75626,28010
LP-297-2016-00044,297,75037,17906
LP-543-2015-00079,543,76908,86383
LP-543-2015-00078,543,4988,76671
LP-543-2015-00174,543,84653,57140
LP-092-2015-00260,092,58741,85660
LP-732-2016-00017,732,9170,3849
LP-422-2015-00085,422,759,79191
LP-106-2015-00019,106,5413,7391
LP-491-2015-00699,491,73667,11945
LP-092-2015-01531,092,51534,24278
LP-106-2015-00270,106,12358,50140
LP-245-2015-00377,245,7345,82265
LP-858-2015-00058,858,5633,6790
LP-092-2015-01102,092,5190,69393
LP-858-2015-00112,858,63383,82056
LP-208-2015-00242,208,70258,12694
LP-092-2015-00043,092,76793,11071
LP-092-2015-00042,092,45935,1371
LP-858-2015-00051,858,83217,25926
LP-858-2015-00052,858,53076,81605
LP-092-2015-00046,092,12351,42544
LP-092-2015-00135,092,65247,82649
LP-092-2015-00137,092,83141,81198
LP-734-2016-00024,734,46914,32074
LP-092-2015-00133,092,71400,2250
LP-186-2015-01043,186,85162,84858
LP-092-2015-00032,092,86110,1334
LP-092-2015-00916,092,76959,10510
LP-257-2016-00133,257,57493,4642
LP-106-2015-00156,106,78422,51069
LP-186-2015-00416,186,69438,19013
LP-092-2015-01621,092,75284,9866
LP-638-2015-00119,638,78383,14344
LP-245-2015-00201,245,53392,14535
LP-092-2015-02124,092,23054,55751
LP-245-2015-00203,245,65275,71126
LP-092-2015-01746,092,69792,79056
LP-858-2015-00027,858,2961,62342
LP-245-2015-00199,245,58396,81072
LP-837-2016-00138,837,82616,79008
LP-444-2016-00089,444,61162,3010
LP-092-2015-00264,092,9784,66025
LP-092-2015-00267,092,48225,80387
LP-092-2015-00349,092,61324,3453
LP-092-2015-00618,092,60335,80947
LP-092-2015-00619,092,14872,3492
LP-837-2016-00135,837,1735,2715
LP-106-2015-00787,106,83647,72973
LP-186-2015-00092,186,60694,81312
LP-858-2016-00066,858,76127,3334
LP-106-2015-00717,106,12455,5022
LP-106-2015-00499,106,69234,28404
LP-106-2015-00711,106,84066,11421
LP-257-2016-00003,257,73178,1473
LP-091-2015-04993,091,1467,18751
LP-257-2016-00007,257,60871,81195
LP-092-2014-00144,092,72929,27614
LP-092-2016-00320,092,74265,78304
LP-092-2016-00325,092,6696,66875
LP-245-2015-00067,245,14156,45926
LP-208-2015-00060,208,57279,1092
LP-092-2015-00665,092,76069,11866
LP-208-2015-00065,208,53717,12333
LP-837-2016-00005,837,14855,7512
LP-908-2015-00056,908,1255,55156
LP-092-2015-00505,092,47257,81425
LP-092-2014-00174,092,55019,5150
LP-092-2014-00175,092,47393,6631
LP-106-2015-00975,106,73194,2260
LP-186-2015-00531,186,84104,53082
LP-444-2015-00217,444,51661,27153
LP-106-2015-00875,106,69434,6915
LP-092-2016-00748,092,80579,10400
LP-734-2015-00104,734,1359,10600
LP-734-2015-00106,734,54870,77192
LP-491-2015-00737,491,53801,8030
LP-092-2016-00437,092,10580,16759
LP-444-2015-00101,444,83505,5330
LP-734-2015-00108,734,55169,3783
LP-245-2016-00043,245,54822,24194
LP-478-2015-00012,478,82232,1244
LP-478-2015-00011,478,766,2926
LP-478-2015-00017,478,55584,26021
LP-092-2016-00023,092,81982,696
LP-444-2015-00519,444,77046,9112
LP-858-2015-00337,858,55466,85756
LP-106-2015-00578,106,12204,81279
LP-092-2016-00183,092,2402,82535
LP-092-2015-01847,092,10617,72402
LP-092-2015-01844,092,69761,15173
LP-092-2015-00770,092,73240,370
LP-297-2016-00018,297,11087,51517
LP-543-2016-00012,543,48288,77204
LP-186-2015-00995,186,85666,20869
LP-297-2016-00011,297,80117,15735
LP-092-2015-01365,092,71955,82995
LP-092-2016-00753,092,59908,30611
LP-092-2015-01360,092,12680,2336
LP-092-2015-02667,092,66907,16003
LP-106-2015-01051,106,16210,3031
LP-106-2015-01056,106,61536,2361
LP-092-2016-00056,092,78403,83225
LP-106-2015-00772,106,79774,63303
LP-092-2015-00896,092,9500,44016
LP-186-2015-00369,186,13051,581
LP-858-2015-00421,858,4689,18316
LP-297-2015-00059,297,68533,43597
