applicationId,municipality,filling-time,operation,time-to-verdict
LP-186-2015-01302,186,6641737.704,pientalo,3499278.437
LP-092-2016-00401,092,241474.849,pientalo,6450999.038
LP-092-2016-00406,092,1542770.697,pientalo,6349452.812
LP-092-2016-00033,092,378565.293,pientalo,7182504.473
LP-092-2016-01134,092,3240846.255,pientalo,6103346.911
LP-106-2015-00892,106,1052690.142,pientalo,2535245.773
LP-092-2015-00827,092,1933.748,pientalo,3308720.283
LP-092-2015-01852,092,7239803.493,pientalo,3504997.344
LP-092-2016-01030,092,2923524.127,pientalo,4806666.686
LP-491-2015-01114,491,13294793.856,pientalo,7212139.22
LP-092-2016-01292,092,5796157.734,pientalo,7473950.053
LP-092-2016-03032,092,5164495.346,pientalo,2886164.939
LP-186-2015-01082,186,12347.823,pientalo,1851838.359
LP-092-2015-00824,092,68786.196,pientalo,2545111.451
LP-092-2016-00748,092,1652000.572,pientalo,2968450.149
LP-092-2016-02317,092,2345711.383,pientalo,1149553.37
LP-092-2015-01354,092,6476437.891,pientalo,7990326.204
LP-106-2015-01185,106,12943.908,pientalo,3059503.182
LP-186-2015-01158,186,8996890.52,pientalo,2704222.251
LP-092-2016-00201,092,3185299.043,pientalo,4967258.113
LP-092-2015-00885,092,21661490.499,pientalo,6008213.027
LP-092-2015-00886,092,8723596.278,pientalo,4376143.682
LP-106-2015-00042,106,8285.271,pientalo,4194603.545
LP-092-2015-00889,092,200204.336,pientalo,6316958.125
LP-092-2015-00780,092,905552.008,pientalo,9300698.078
LP-106-2016-00494,106,181.108,pientalo,1397920.454
LP-837-2015-00102,837,181422.826,pientalo,7355263.771
LP-491-2016-00390,491,4837586.001,pientalo,1001876.352
LP-837-2016-01026,837,6402.901,pientalo,5041832.286
LP-491-2016-00129,491,119180.315,pientalo,1049631.45
LP-092-2016-01349,092,5359452.554,pientalo,3843488.367
LP-092-2015-01458,092,529957.141,pientalo,4013895.194
LP-092-2015-00102,092,2149404.326,pientalo,4549314.017
LP-092-2016-01956,092,493432.365,pientalo,3908795.265
LP-186-2016-00274,186,3042281.074,pientalo,3495747.829
LP-092-2016-01951,092,1985827.401,pientalo,3124627.431
LP-491-2015-00535,491,1115157.671,pientalo,1090976.21
LP-092-2014-00186,092,1877476.47,pientalo,3415472.03
LP-092-2015-00916,092,788110.702,pientalo,5825224.535
LP-106-2015-00296,106,4339452.191,pientalo,1226649.748
LP-092-2015-00089,092,1733455.64,pientalo,8147712.994
LP-092-2015-01575,092,2325323.634,pientalo,3671854.265
LP-186-2015-00116,186,15713522.248,pientalo,809046.427
LP-491-2015-00391,491,414925.613,pientalo,1598447.104
LP-092-2015-01772,092,1045518.333,pientalo,3847872.599
LP-491-2016-00269,491,5895202.617,pientalo,621192.02
LP-092-2015-00312,092,3014000.243,pientalo,10168041.907
LP-491-2015-00549,491,2854235.048,pientalo,4073570.213
LP-491-2015-00911,491,24191522.045,pientalo,2193973.752
LP-491-2015-00892,491,28405954.001,pientalo,2223602.827
LP-491-2015-00890,491,13821741.395,pientalo,6526437.384
LP-092-2015-00817,092,1208038.325,pientalo,7560813.409
LP-092-2015-00770,092,691570.24,pientalo,7470270.113
LP-092-2015-00813,092,4963.95,pientalo,1783000.154
LP-491-2015-00899,491,26537384.327,pientalo,4091642.839
LP-106-2015-00204,106,3384.831,pientalo,5397504.686
LP-186-2015-00285,186,7545106.198,pientalo,8145161.18
LP-092-2015-02686,092,314.633,pientalo,4257432.199
LP-092-2015-01959,092,167477.291,pientalo,1689165.203
LP-092-2015-00797,092,425.843,pientalo,1325692.398
LP-186-2015-00692,186,148130.588,pientalo,4199202.911
LP-092-2015-00798,092,1080771.324,pientalo,11457011.321
LP-837-2016-00172,837,4517684.616,pientalo,6083021.525
LP-092-2015-00220,092,2486.708,pientalo,6782837.097
LP-092-2015-00223,092,13488.687,pientalo,1501158.309
LP-092-2015-00556,092,2330107.127,pientalo,3553455.411
LP-092-2015-00227,092,2451818.981,pientalo,4939285.485
LP-092-2015-00229,092,1891009.464,pientalo,4944015.974
LP-092-2015-00228,092,4295.867,pientalo,9106604.794
LP-491-2015-00002,491,4941330.77,pientalo,2363384.707
LP-491-2015-00003,491,3990328.647,pientalo,1406717.328
LP-106-2016-00653,106,2251890.154,pientalo,1224421.633
LP-092-2015-00495,092,1134450.232,pientalo,9029080.346
LP-092-2015-00250,092,19808338.988,pientalo,5551658.073
LP-092-2016-00281,092,2253674.487,pientalo,6322944.65
LP-106-2015-01239,106,9161776.163,pientalo,1943204.965
LP-106-2015-00342,106,86261.507,pientalo,14746677.217
LP-092-2015-00258,092,2429613.869,pientalo,5748992.343
LP-092-2015-00259,092,338873.246,pientalo,5667729.167
LP-837-2016-00728,837,3810180.35,pientalo,8567522.532
LP-837-2016-00480,837,4925430.789,pientalo,6609355.305
LP-092-2016-02198,092,119633.528,pientalo,4865701.46
LP-106-2015-00228,106,3684677.151,pientalo,2555209.771
LP-092-2016-00840,092,698734.782,pientalo,7816554.28
LP-186-2015-00456,186,9043537.702,pientalo,473130.26
LP-186-2015-00477,186,2076804.289,pientalo,1487045.706
LP-092-2016-02404,092,510624.591,pientalo,2994627.929
LP-837-2016-00898,837,414377.166,pientalo,5410977.447
LP-092-2016-01399,092,1569778.294,pientalo,4340675.819
LP-186-2016-00283,186,4082137.834,pientalo,10816042.354
LP-186-2015-01128,186,12845536.265,pientalo,1264359.203
LP-092-2016-00665,092,2494621.454,pientalo,1842397.083
LP-092-2016-00061,092,981818.991,pientalo,3809243.48
LP-092-2016-00062,092,761477.55,pientalo,7312058.057
LP-092-2016-00063,092,1027558.373,pientalo,8601365.128
LP-092-2016-01166,092,2752186.22,pientalo,4009401.81
LP-092-2015-01880,092,9747438.633,pientalo,3242936.24
LP-186-2015-00622,186,1722.348,pientalo,12141363.107
LP-092-2015-02991,092,6622785.659,pientalo,7223793.411
LP-186-2016-00231,186,4582481.077,pientalo,2382140.422
LP-092-2015-02852,092,6132167.108,pientalo,6369962.043
LP-092-2016-03368,092,3044383.068,pientalo,2366003.886
LP-186-2016-00172,186,609439.237,pientalo,4247331.406
LP-837-2016-00432,837,4350411.14,pientalo,5713971.964
LP-092-2016-00718,092,90851.337,pientalo,7128085.046
LP-186-2015-01223,186,12918917.196,pientalo,5326064.019
LP-092-2016-02885,092,612802.49,pientalo,8513617.337
LP-186-2016-00468,186,2061156.179,pientalo,2458710.964
LP-186-2015-00583,186,7930572.568,pientalo,1606555.074
LP-092-2016-01305,092,3465620.862,pientalo,4692847.641
LP-837-2016-00862,837,3979078.389,pientalo,7710778.579
LP-186-2016-00588,186,524019.648,pientalo,4496278.34
LP-837-2016-00216,837,3618846.3,pientalo,5063915.21
LP-092-2016-03041,092,121218.341,pientalo,6065166.36
LP-837-2016-01171,837,1106194.43,pientalo,8155590.722
LP-106-2015-00019,106,698591.075,pientalo,5571627.112
LP-491-2015-00699,491,11945.141,pientalo,7375762.669
LP-092-2015-01531,092,24278.25,pientalo,5212241.484
LP-186-2015-00489,186,170180.771,pientalo,3498812.482
LP-092-2015-01102,092,1278993.021,pientalo,27257449.279
LP-106-2016-00804,106,411.542,pientalo,1075761.745
LP-092-2015-00043,092,2171071.811,pientalo,9544499.734
LP-092-2015-00042,092,433371.115,pientalo,5462033.823
LP-092-2015-00046,092,2634544.947,pientalo,4896289.302
LP-837-2016-01112,837,169939.377,pientalo,9050701.492
LP-092-2015-00137,092,2500398.789,pientalo,8941177.106
LP-092-2015-01036,092,2330081.38,pientalo,1909513.259
LP-092-2015-00133,092,2939850.37,pientalo,2716945.928
LP-092-2015-00032,092,1038134.972,pientalo,5325348.937
LP-837-2016-00507,837,156889.314,pientalo,5050886.774
LP-491-2015-00913,491,22178703.236,pientalo,1182635.401
LP-092-2016-02036,092,105087.368,pientalo,4071575.345
LP-092-2016-02033,092,1626038.564,pientalo,3593960.749
LP-106-2015-00156,106,915069.32,pientalo,3931614.186
LP-186-2015-00416,186,3043013.045,pientalo,3917984.902
LP-092-2015-01621,092,9866.661,pientalo,7038987.052
LP-186-2015-00799,186,3671955.739,pientalo,1746763.485
LP-186-2016-00049,186,5924651.729,pientalo,3591113.829
LP-092-2015-01747,092,184387.267,pientalo,15244462.673
LP-092-2015-01746,092,165456.103,pientalo,15244523.072
LP-092-2015-00614,092,360476.093,pientalo,9098616.588
LP-837-2016-00138,837,79008.938,pientalo,6693381.85
LP-092-2015-00264,092,3262825.444,pientalo,5497448.65
LP-092-2015-00267,092,339587.094,pientalo,8141780.719
LP-092-2015-00349,092,3453.646,pientalo,7207056.222
LP-092-2015-00618,092,2500147.535,pientalo,5736552.08
LP-092-2015-00619,092,3492.348,pientalo,6619021.952
LP-837-2016-00135,837,2715.338,pientalo,6169587.654
LP-106-2015-00787,106,850573.035,pientalo,4350394.289
LP-186-2015-00092,186,2673312.505,pientalo,1152259.188
LP-186-2015-00094,186,3029959.532,pientalo,795048.075
LP-106-2015-00717,106,4497822.646,pientalo,657398.804
LP-106-2015-00711,106,443421.156,pientalo,3154738.435
LP-491-2015-01202,491,90620.997,pientalo,1085445.862
LP-092-2015-01277,092,4227401.498,pientalo,12108471.518
LP-106-2016-00183,106,10728802.682,pientalo,5397901.03
LP-092-2015-00431,092,1496530.682,pientalo,4768646.624
LP-092-2016-00320,092,78304.844,pientalo,9119811.782
LP-092-2016-00325,092,1362875.224,pientalo,5410156.246
LP-092-2015-00665,092,1999066.875,pientalo,7813588.228
LP-837-2016-00005,837,1130712.516,pientalo,9642922.101
LP-837-2016-00999,837,2213300.409,pientalo,7572251.331
LP-092-2015-00505,092,2846225.653,pientalo,9260042.874
LP-092-2014-00174,092,5150.884,pientalo,7887385.844
LP-092-2014-00175,092,6631.122,pientalo,8996473.911
LP-106-2015-00975,106,866260.764,pientalo,1165454.332
LP-106-2016-00604,106,2073219.474,pientalo,2733977.273
LP-491-2015-00039,491,12784622.731,pientalo,2176506.092
LP-186-2015-01362,186,3610469.704,pientalo,1264684.872
LP-106-2015-00198,106,5591.342,pientalo,4350731.697
LP-491-2015-00737,491,180830.409,pientalo,4591002.343
LP-491-2015-00888,491,29568847.376,pientalo,2876167.136
LP-106-2015-00270,106,136540.954,pientalo,2035827.242
LP-106-2016-00696,106,2151977.546,pientalo,4259979.44
LP-106-2015-00578,106,254079.394,pientalo,5748735.65
LP-092-2016-00183,092,255335.25,pientalo,3338809.94
LP-092-2015-01847,092,2232402.23,pientalo,5319871.731
LP-092-2015-01844,092,1570373.269,pientalo,4441325.561
LP-186-2015-00747,186,8063351.966,pientalo,1492859.336
LP-106-2016-00447,106,2086590.733,pientalo,3236717.886
LP-092-2016-03399,092,1378944.595,pientalo,4199341.582
LP-092-2016-02362,092,182613.355,pientalo,2979586.651
LP-186-2015-00995,186,107269.235,pientalo,5733683.05
LP-092-2015-01365,092,2156595.368,pientalo,4972279.318
LP-491-2016-00657,491,2676.622,pientalo,2898373.038
LP-092-2015-01360,092,1989536.966,pientalo,21300963.291
LP-092-2015-02667,092,4940803.726,pientalo,3664960.853
LP-106-2015-01051,106,3031.928,pientalo,13790755.405
LP-106-2015-01056,106,2361.803,pientalo,2519148.381
LP-837-2016-00909,837,1190504.749,pientalo,9384669.171
LP-092-2016-01744,092,1206174.68,pientalo,4557442.832
LP-092-2015-00732,092,3083980.905,pientalo,5130759.666
LP-186-2015-00960,186,2874863.062,pientalo,4516473.25
LP-092-2016-01695,092,271307.794,pientalo,11241239.105
LP-092-2015-02861,092,3647264.925,pientalo,6509204.15
LP-186-2015-00369,186,581.19,pientalo,2813758.096
LP-092-2016-01827,092,5492.422,pientalo,5570552.381
LP-837-2016-00002,837,4564186.255,pientalo,8432561.296
LP-092-2015-00169,092,1086685.922,pientalo,4374550.432
LP-186-2015-00202,186,2525353.388,pientalo,2686310.912
LP-186-2015-00560,186,11105.817,pientalo,2360833.59
LP-092-2015-00165,092,251316.027,pientalo,5501164.309
LP-837-2016-00832,837,1136375.204,pientalo,9103999.674
LP-186-2016-00416,186,1114749.942,pientalo,1433693.852
LP-837-2016-00836,837,929916.856,pientalo,5297732.277
LP-092-2015-01443,092,78697.783,pientalo,9380668.047
LP-491-2016-00153,491,3051538.313,pientalo,1393935.526
LP-491-2016-00159,491,1201272.969,pientalo,1238464.039
LP-186-2016-00550,186,2070849.935,pientalo,2211243.788
LP-837-2016-01018,837,1123623.789,pientalo,8785627.914
LP-092-2015-02741,092,239325.823,pientalo,4282973.657
LP-491-2015-00812,491,244753.845,pientalo,3934384.569
LP-491-2016-00073,491,1904217.452,pientalo,2903682.4
LP-837-2016-00408,837,406289.802,pientalo,5821401.464
LP-837-2015-00093,837,681412.564,pientalo,7472703.801
LP-491-2016-00078,491,1678360.576,pientalo,620462.674
LP-092-2015-00093,092,980553.877,pientalo,9267357.996
LP-491-2016-00275,491,5974898.195,pientalo,1668035.36
LP-491-2016-00277,491,1718383.331,pientalo,1680895.071
LP-092-2016-00803,092,2310035.963,pientalo,5567758.029
LP-092-2015-00307,092,3141765.5,pientalo,5469431.293
LP-092-2016-01150,092,345928.046,pientalo,4190085.935
LP-186-2015-00195,186,4891787.026,pientalo,1176028.128
LP-491-2015-00889,491,22113712.737,pientalo,1258573.804
LP-106-2015-00875,106,870915.514,pientalo,2951410.901
LP-092-2015-01145,092,2382245.266,pientalo,7526438.152
LP-092-2015-00002,092,3284324.596,pientalo,4809010.545
LP-092-2015-01149,092,1197358.735,pientalo,9946565.533
LP-491-2015-00551,491,3668862.704,pientalo,704117.169
LP-491-2015-00884,491,25237121.26,pientalo,1161652.162
LP-491-2015-00885,491,18493546.542,pientalo,1855526.688
LP-491-2015-00887,491,26296447.443,pientalo,1915241.731
LP-092-2015-00391,092,92848.692,pientalo,7202447.97
LP-092-2016-00209,092,272248.956,pientalo,5745291.457
LP-092-2015-00392,092,1887697.229,pientalo,4974717.475
LP-106-2015-00021,106,53953.325,pientalo,6018527.191
LP-092-2016-02069,092,5578514.0,pientalo,5532652.042
LP-491-2015-00258,491,4041835.6,pientalo,1501188.554
LP-092-2016-00938,092,1920482.049,pientalo,5391641.679
LP-092-2015-00781,092,4684.753,pientalo,2906789.957
LP-186-2015-00742,186,8548101.312,pientalo,1423075.947
LP-092-2015-00788,092,3869135.206,pientalo,3597485.708
LP-092-2016-00937,092,1922365.004,pientalo,5391446.026
LP-092-2016-00381,092,4231816.364,pientalo,5670924.258
LP-106-2015-00005,106,2324704.018,pientalo,4556120.375
LP-092-2016-00383,092,2017581.283,pientalo,3907005.284
LP-491-2015-00676,491,642763.039,pientalo,1178949.882
LP-092-2016-00277,092,953525.396,pientalo,6598139.506
LP-491-2015-00771,491,4161874.693,pientalo,1742946.547
LP-092-2016-02610,092,614479.625,pientalo,3481602.67
LP-092-2016-00221,092,6414.741,pientalo,7721795.442
LP-092-2015-00430,092,5703980.046,pientalo,4801743.956
LP-092-2014-00144,092,3483614.781,pientalo,6595003.964
LP-092-2016-02577,092,1886084.734,pientalo,8504876.426
LP-092-2015-00435,092,3975124.824,pientalo,5389145.097
LP-092-2014-00142,092,604066.5,pientalo,7197862.581
LP-106-2016-00655,106,5223316.781,pientalo,3032669.479
LP-092-2016-00492,092,2147.218,pientalo,6790090.276
LP-092-2015-00493,092,51325.816,pientalo,6007860.445
LP-092-2015-02911,092,8849850.245,pientalo,5983073.851
LP-491-2016-00754,491,3429345.969,pientalo,1869704.815
LP-837-2015-00073,837,2151911.13,pientalo,7307333.25
LP-092-2015-00491,092,57652.531,pientalo,6091815.514
LP-092-2015-02965,092,775294.637,pientalo,3910443.822
LP-106-2015-01095,106,1384152.549,pientalo,2946038.79
LP-092-2015-02743,092,7493114.349,pientalo,3510587.794
LP-092-2015-02961,092,2480145.015,pientalo,5596236.106
LP-186-2015-01043,186,4836858.677,pientalo,4880710.62
LP-186-2015-00730,186,5564060.303,pientalo,1307227.616
LP-092-2016-00156,092,4120822.134,pientalo,6431142.158
LP-092-2016-00151,092,11816149.6,pientalo,1785694.181
LP-092-2016-00152,092,966143.368,pientalo,6757236.309
LP-186-2015-00011,186,8092636.238,pientalo,13779860.962
LP-092-2016-02806,092,2476503.169,pientalo,6709299.779
LP-092-2016-02777,092,675813.986,pientalo,3410416.456
LP-092-2016-02338,092,2170796.331,pientalo,3410457.599
LP-092-2015-02825,092,6497.896,pientalo,4917642.56
LP-092-2016-03357,092,1550238.563,pientalo,5301449.5
LP-092-2015-01679,092,2323251.179,pientalo,3661771.62
LP-092-2015-00995,092,4974220.566,pientalo,4804537.097
LP-092-2015-01439,092,585920.087,pientalo,4197815.903
LP-092-2015-00251,092,21769779.348,pientalo,15343282.436
LP-092-2015-01242,092,611596.944,pientalo,10324244.748
LP-837-2016-00974,837,996688.304,pientalo,8358822.784
LP-092-2015-01245,092,1839155.739,pientalo,4253786.309
LP-092-2015-01247,092,413110.633,pientalo,7311265.758
LP-837-2016-00873,837,631421.62,pientalo,5119266.202
LP-092-2016-01336,092,182398.461,pientalo,5318763.886
LP-106-2014-00267,106,3801811.079,pientalo,6782184.586
LP-837-2016-00343,837,3950418.484,pientalo,4463119.176
LP-092-2016-00648,092,1463419.067,pientalo,5402409.231
LP-837-2016-00346,837,5536341.825,pientalo,5198960.904
LP-837-2016-00347,837,188495.781,pientalo,8060233.477
LP-837-2015-00214,837,8910223.569,pientalo,8587197.786
LP-186-2015-00253,186,2464217.369,pientalo,3337609.354
LP-092-2015-02522,092,1052729.748,pientalo,8062433.606
LP-092-2015-01503,092,2597592.456,pientalo,6431453.856
LP-092-2015-01507,092,971396.344,pientalo,12453811.675
LP-186-2015-00499,186,11441.484,pientalo,1911390.253
LP-106-2016-00749,106,426174.555,pientalo,1943146.989
LP-092-2015-01110,092,2637091.024,pientalo,9034342.323
LP-092-2015-00050,092,3010364.65,pientalo,2638106.779
LP-186-2015-00497,186,867383.91,pientalo,4604307.997
LP-092-2016-01200,092,184934.034,pientalo,2263434.381
LP-186-2014-00534,186,818.806,pientalo,137786.673
LP-092-2016-01208,092,5521438.617,pientalo,2961354.181
LP-092-2016-01971,092,3145065.038,pientalo,8910970.744
LP-092-2016-02384,092,356896.298,pientalo,5018754.29
LP-106-2016-00264,106,663501.212,pientalo,1952333.328
LP-491-2015-00929,491,3464509.501,pientalo,1910620.132
LP-491-2015-00922,491,24478395.989,pientalo,613070.96
LP-106-2015-00145,106,1994094.711,pientalo,4695954.755
LP-837-2016-00450,837,1891202.636,pientalo,5591822.494
LP-092-2015-02722,092,14131.055,pientalo,8065281.699
LP-186-2016-00137,186,6725907.995,pientalo,1861618.635
LP-092-2015-01753,092,5522824.028,pientalo,8420751.576
LP-186-2015-00070,186,1308526.313,pientalo,2026762.313
LP-092-2015-00851,092,817804.873,pientalo,7146248.63
LP-092-2016-00972,092,3713.247,pientalo,11798405.985
LP-092-2015-00494,092,4722.775,pientalo,6018259.195
LP-092-2015-00757,092,241.547,pientalo,1569511.3
LP-491-2015-01351,491,1839667.275,pientalo,2345051.198
LP-106-2015-00700,106,2767215.477,pientalo,916053.807
LP-092-2016-00331,092,537023.192,pientalo,6786847.292
LP-092-2016-02652,092,1888809.344,pientalo,1749621.211
LP-186-2015-00675,186,12116120.646,pientalo,1216960.491
LP-106-2015-00721,106,8514.182,pientalo,5114760.56
LP-186-2016-00782,186,833.961,pientalo,5561680.918
LP-092-2015-02231,092,5940380.569,pientalo,2642311.021
LP-837-2016-00157,837,3902660.274,pientalo,9976893.207
LP-092-2016-00252,092,1277213.08,pientalo,7487769.045
LP-092-2015-00475,092,1167252.842,pientalo,7181285.353
LP-106-2015-01281,106,2750137.221,pientalo,2370507.327
LP-106-2015-00093,106,2773.492,pientalo,3918705.571
LP-092-2014-00181,092,3124785.07,pientalo,1674674.404
LP-186-2015-01370,186,4549735.416,pientalo,2369636.664
LP-106-2015-00965,106,2224945.9,pientalo,4205351.283
LP-106-2016-00638,106,4122974.446,pientalo,5050028.002
LP-106-2015-00360,106,1832040.01,pientalo,3748835.788
LP-092-2015-00584,092,5793.506,pientalo,9516816.439
LP-837-2015-00038,837,16753.679,pientalo,4964537.488
LP-092-2015-00589,092,850625.908,pientalo,5814090.007
LP-092-2016-00753,092,117011.83,pientalo,14629274.169
LP-186-2016-00148,186,5271786.529,pientalo,1777323.199
LP-092-2015-02701,092,4843355.883,pientalo,3664939.606
LP-186-2015-00474,186,428899.448,pientalo,3411213.297
LP-092-2015-00402,092,2369777.615,pientalo,4938724.764
LP-092-2015-00409,092,1630277.968,pientalo,5663241.527
LP-106-2016-00196,106,2131125.17,pientalo,3672045.21
LP-092-2016-00566,092,2077549.595,pientalo,5808397.02
LP-092-2016-00600,092,17083.639,pientalo,6698172.977
LP-092-2015-00107,092,4483605.163,pientalo,4519697.43
LP-491-2016-00661,491,2129746.519,pientalo,1860353.266
LP-106-2015-00840,106,4248724.234,pientalo,798119.055
LP-837-2015-00145,837,4675987.7,pientalo,8594689.436
LP-092-2015-02776,092,5586323.027,pientalo,5222486.852
LP-092-2015-02670,092,4223728.476,pientalo,16466975.13
LP-092-2016-00056,092,947225.719,pientalo,5578498.568
LP-837-2016-00933,837,153943.804,pientalo,5387504.028
LP-092-2016-02428,092,10661.481,pientalo,697674.511
LP-092-2016-02780,092,2481485.932,pientalo,6613376.081
LP-186-2015-00604,186,170740.384,pientalo,5480981.474
LP-186-2016-00354,186,754.624,pientalo,2982069.569
LP-491-2015-00805,491,2819.171,pientalo,4848064.412
LP-186-2015-01194,186,10133193.234,pientalo,4167651.001
LP-106-2015-00101,106,126522.491,pientalo,7235643.469
LP-092-2015-01384,092,161572.578,pientalo,17925661.295
LP-106-2015-00835,106,5197.693,pientalo,4351010.719
LP-491-2014-00552,491,5609454.678,pientalo,1655039.561
LP-837-2016-01000,837,8461.97,pientalo,9720911.311
LP-491-2015-01003,491,638583.809,pientalo,2485559.162
LP-106-2016-00222,106,367619.011,pientalo,2541011.982
LP-092-2015-02458,092,4546173.793,pientalo,1794323.334
LP-092-2015-01498,092,9579555.63,pientalo,10999859.118
LP-491-2015-01224,491,257455.379,pientalo,985421.49
LP-186-2015-00507,186,1962020.335,pientalo,4620859.868
LP-092-2016-01413,092,4880.415,pientalo,6613914.886
LP-186-2015-01110,186,3553187.204,pientalo,1680115.661
LP-092-2015-01122,092,1995667.168,pientalo,3412220.036
LP-092-2016-02849,092,10411.256,pientalo,5201383.791
LP-092-2015-00702,092,8824.93,pientalo,12313664.875
LP-092-2016-01419,092,6565976.01,pientalo,7220019.621
LP-092-2015-01797,092,1248866.069,pientalo,4756581.444
LP-092-2015-00704,092,10905866.29,pientalo,7455648.307
LP-092-2015-01155,092,1125854.402,pientalo,6005778.894
LP-092-2015-00012,092,3697456.201,pientalo,9898990.628
LP-092-2015-01153,092,563619.782,pientalo,11935245.406
LP-106-2015-00424,106,243930.019,pientalo,2565851.095
LP-491-2015-00244,491,1214386.569,pientalo,3568026.239
LP-106-2015-00039,106,5101740.665,pientalo,565899.711
