applicationId,municipality,timeToVerdict,filling-time,operation,start_month,1,2,3,4,5,6,7,8,9,10,11,12
LP-091-2015-07974,091,14.6474270145,11.8008225143,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-091-2015-00360,091,14.8179261406,12.4594854263,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-01578,091,14.9602115875,12.0511891973,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-837-2016-00911,837,14.4823589367,13.5344809752,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2015-02150,092,12.8880274242,14.0614444258,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2015-02152,092,13.0476635378,7.61825109788,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-091-2015-04479,091,14.1044246212,7.9050728495,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-837-2016-00853,837,14.5540272972,7.57609734062,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-186-2016-00518,186,15.2049753878,12.4822184302,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00887,092,14.2643473673,14.1687577338,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2016-03242,092,13.9668461363,7.35308192052,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2015-00100,091,15.1387242681,9.8288178842,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-01179,092,12.9090414358,12.3729124765,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-186-2015-00574,186,17.1398081406,14.6580660482,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2015-01598,092,12.8647318956,12.114450656,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-092-2016-01599,092,13.2344019452,7.11232744471,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-837-2016-01147,837,14.2384042357,7.57507169951,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-186-2014-00104,186,14.7492894762,7.40488757562,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2016-02826,091,14.611389853,14.4043677607,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-837-2016-00558,837,14.4644456291,11.375328677,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
