applicationId,filling-time,operation,time-to-verdict
LP-092-2016-01292,5796157.734,pientalo,7473950.053
LP-092-2016-03032,5164495.346,pientalo,2886164.939
LP-186-2015-01082,12347.823,pientalo,1851838.359
LP-092-2015-00824,68786.196,pientalo,2545111.451
LP-092-2016-00748,1652000.572,pientalo,2968450.149
LP-092-2016-02317,2345711.383,pientalo,1149553.37
LP-092-2015-01354,6476437.891,pientalo,7990326.204
LP-106-2015-01185,12943.908,pientalo,3059503.182
LP-186-2015-01158,8996890.52,pientalo,2704222.251
LP-092-2016-00201,3185299.043,pientalo,4967258.113
LP-092-2015-00885,21661490.499,pientalo,6008213.027
LP-092-2015-00886,8723596.278,pientalo,4376143.682
LP-106-2015-00042,8285.271,pientalo,4194603.545
LP-092-2015-00889,200204.336,pientalo,6316958.125
LP-092-2015-00780,905552.008,pientalo,9300698.078
LP-106-2016-00494,181.108,pientalo,1397920.454
LP-837-2015-00102,181422.826,pientalo,7355263.771
LP-491-2016-00390,4837586.001,pientalo,1001876.352
LP-837-2016-01026,6402.901,pientalo,5041832.286
LP-491-2016-00129,119180.315,pientalo,1049631.45
LP-092-2016-01349,5359452.554,pientalo,3843488.367
LP-092-2015-01458,529957.141,pientalo,4013895.194
LP-092-2015-00102,2149404.326,pientalo,4549314.017
LP-092-2016-01956,493432.365,pientalo,3908795.265
LP-186-2016-00274,3042281.074,pientalo,3495747.829
LP-092-2016-01951,1985827.401,pientalo,3124627.431
LP-491-2015-00535,1115157.671,pientalo,1090976.21
LP-092-2014-00186,1877476.47,pientalo,3415472.03
LP-092-2015-00916,788110.702,pientalo,5825224.535
LP-106-2015-00296,4339452.191,pientalo,1226649.748
LP-092-2015-00089,1733455.64,pientalo,8147712.994
LP-092-2015-01575,2325323.634,pientalo,3671854.265
LP-186-2015-00116,15713522.248,pientalo,809046.427
LP-491-2015-00391,414925.613,pientalo,1598447.104
LP-092-2015-01772,1045518.333,pientalo,3847872.599
LP-491-2016-00269,5895202.617,pientalo,621192.02
LP-092-2015-00312,3014000.243,pientalo,10168041.907
LP-491-2015-00549,2854235.048,pientalo,4073570.213
LP-491-2015-00911,24191522.045,pientalo,2193973.752
LP-491-2015-00892,28405954.001,pientalo,2223602.827
LP-491-2015-00890,13821741.395,pientalo,6526437.384
LP-092-2015-00817,1208038.325,pientalo,7560813.409
LP-092-2015-00770,691570.24,pientalo,7470270.113
LP-092-2015-00813,4963.95,pientalo,1783000.154
LP-491-2015-00899,26537384.327,pientalo,4091642.839
LP-106-2015-00204,3384.831,pientalo,5397504.686
LP-186-2015-00285,7545106.198,pientalo,8145161.18
LP-092-2015-02686,314.633,pientalo,4257432.199
LP-092-2015-01959,167477.291,pientalo,1689165.203
LP-092-2015-00797,425.843,pientalo,1325692.398
LP-186-2015-00692,148130.588,pientalo,4199202.911
LP-092-2015-00798,1080771.324,pientalo,11457011.321
LP-837-2016-00172,4517684.616,pientalo,6083021.525
LP-092-2015-00220,2486.708,pientalo,6782837.097
LP-092-2015-00223,13488.687,pientalo,1501158.309
LP-092-2015-00556,2330107.127,pientalo,3553455.411
LP-092-2015-00227,2451818.981,pientalo,4939285.485
LP-092-2015-00229,1891009.464,pientalo,4944015.974
LP-092-2015-00228,4295.867,pientalo,9106604.794
LP-491-2015-00002,4941330.77,pientalo,2363384.707
LP-491-2015-00003,3990328.647,pientalo,1406717.328
LP-106-2016-00653,2251890.154,pientalo,1224421.633
LP-092-2015-00495,1134450.232,pientalo,9029080.346
LP-092-2015-00250,19808338.988,pientalo,5551658.073
LP-092-2016-00281,2253674.487,pientalo,6322944.65
LP-106-2015-01239,9161776.163,pientalo,1943204.965
LP-106-2015-00342,86261.507,pientalo,14746677.217
LP-092-2015-00258,2429613.869,pientalo,5748992.343
LP-092-2015-00259,338873.246,pientalo,5667729.167
LP-837-2016-00728,3810180.35,pientalo,8567522.532
LP-837-2016-00480,4925430.789,pientalo,6609355.305
LP-092-2016-02198,119633.528,pientalo,4865701.46
LP-106-2015-00228,3684677.151,pientalo,2555209.771
LP-092-2016-00840,698734.782,pientalo,7816554.28
LP-186-2015-00456,9043537.702,pientalo,473130.26
LP-186-2015-00477,2076804.289,pientalo,1487045.706
LP-092-2016-02404,510624.591,pientalo,2994627.929
LP-837-2016-00898,414377.166,pientalo,5410977.447
LP-092-2016-01399,1569778.294,pientalo,4340675.819
LP-186-2016-00283,4082137.834,pientalo,10816042.354
LP-186-2015-01128,12845536.265,pientalo,1264359.203
LP-092-2016-00665,2494621.454,pientalo,1842397.083
LP-092-2016-00061,981818.991,pientalo,3809243.48
LP-092-2016-00062,761477.55,pientalo,7312058.057
LP-092-2016-00063,1027558.373,pientalo,8601365.128
LP-092-2016-01166,2752186.22,pientalo,4009401.81
LP-092-2015-01880,9747438.633,pientalo,3242936.24
LP-186-2015-00622,1722.348,pientalo,12141363.107
LP-092-2015-02991,6622785.659,pientalo,7223793.411
LP-186-2016-00231,4582481.077,pientalo,2382140.422
LP-092-2015-02852,6132167.108,pientalo,6369962.043
LP-092-2016-03368,3044383.068,pientalo,2366003.886
LP-186-2016-00172,609439.237,pientalo,4247331.406
LP-837-2016-00432,4350411.14,pientalo,5713971.964
LP-092-2016-00718,90851.337,pientalo,7128085.046
LP-186-2015-01223,12918917.196,pientalo,5326064.019
LP-092-2016-02885,612802.49,pientalo,8513617.337
LP-186-2016-00468,2061156.179,pientalo,2458710.964
LP-186-2015-00583,7930572.568,pientalo,1606555.074
LP-092-2016-01305,3465620.862,pientalo,4692847.641
LP-837-2016-00862,3979078.389,pientalo,7710778.579
LP-186-2016-00588,524019.648,pientalo,4496278.34
LP-837-2016-00216,3618846.3,pientalo,5063915.21
LP-092-2016-03041,121218.341,pientalo,6065166.36
LP-837-2016-01171,1106194.43,pientalo,8155590.722
LP-106-2015-00019,698591.075,pientalo,5571627.112
LP-491-2015-00699,11945.141,pientalo,7375762.669
