municipality,time,filling-time
245,65518,25449
092,73060,5592
245,79813,73144
092,54622,20996
186,35179,11441
092,18943,45091
092,4822,72764
092,5567,73961
245,3860,3968
710,13986,1145
422,24272,54826
106,17366,58701
491,45776,8509
858,58391,3773
753,75695,18904
106,79985,6894
638,7720,5526
858,4527,1074
858,10760,8623
638,66302,20895
092,4500,79624
208,71050,72117
106,44504,31561
092,74168,3713
734,78767,57014
734,67011,1510
908,9417,84072
543,4454,61553
444,1076,68428
638,63259,27876
543,8937,65558
106,10376,57525
536,56016,66597
257,68395,4593
186,68638,83780
092,77998,18623
732,84588,48018
186,46690,20120
106,73392,11736
638,82995,56743
208,75786,85600
208,20163,81521
837,80342,14660
092,19268,67613
092,49392,44052
106,73803,71737
908,70029,12277
186,7263,56935
245,8891,1276
106,6488,64945
106,74119,17640
604,66095,80196
092,54626,5793
837,76365,16753
536,56449,4329
257,78276,30055
536,62472,4528
444,67153,18152
092,67067,4955
186,80263,83299
858,50877,1616
858,79106,19175
858,42702,29668
092,44626,36977
092,8214,75077
257,72702,22651
092,52714,3949
092,74889,17083
092,41284,80201
106,77179,15124
837,65746,10387
092,72743,56723
092,9465,76528
853,82607,3510
208,190,84744
186,64319,84340
858,53105,20846
753,10535,81286
491,51950,2819
186,74402,24393
106,18133,40122
092,70923,75172
106,85390,5197
753,86011,3327
257,68537,13708
444,72412,15029
092,75698,8824
245,7888,51001
245,80962,68571
491,38408,79854
543,19727,2442
543,44117,18873
577,68394,14482
491,10562,33783
106,1787,22019
245,55126,73650
092,35978,53373
858,50788,29249
092,55010,75555
092,55757,6414
186,77460,61220
092,79227,4880
186,82779,10787
092,65309,8467
858,80546,66092
224,46531,77196
092,50413,39266
092,55810,19466
092,5022,2654
092,77735,68656
092,41845,45219
208,55171,78777
208,76574,3329
106,1898,71130
491,67388,4786
444,80866,78035
106,3026,14131
536,132,67344
106,10103,76382
536,1625,82028
092,52142,18464
092,12313,85337
638,85984,57460
186,82388,79517
257,73619,81815
638,75458,5033
092,70598,22475
092,28638,58303
092,10199,82783
092,61503,33036
908,73475,1692
092,66284,2081
092,79075,68989
092,85041,26
186,75913,3383
106,79108,16880
257,79097,2645
092,75637,53732
536,3444,48053
536,68020,907
092,1668,3427
092,65582,82090
186,13113,1722
092,63781,77064
092,2076,68885
078,16199,75205
092,71329,85645
092,82884,70419
444,66478,4041
444,81910,5165
444,855,1922
092,1520,2456
153,1420,2267
106,11103,45181
106,821,5138
536,70461,84431
444,4665,82878
536,1640,68942
092,46442,12134
444,79719,85585
186,72222,84183
858,3111,81895
186,69194,75337
106,77539,1646
092,76762,8922
092,59549,82465
092,62199,14131
543,17601,59432
092,3018,16740
092,73930,62458
245,48335,728
092,40602,7827
092,12594,52170
092,18734,70563
092,84821,61310
092,75009,81019
092,61240,4434
092,31184,2371
732,61943,23172
106,80822,11538
106,12130,71141
257,15233,1448
257,52346,11834
106,84783,5922
092,62255,13928
245,73899,80249
858,20983,81580
092,68344,72145
208,24551,84840
092,49039,31708
753,2240,70713
444,67073,1557
092,3248,79480
208,12840,2873
491,78979,15399
106,3954,64567
106,75284,1448
858,65188,1082
858,68326,34240
092,75062,17669
092,55159,73025
858,76927,6357
858,7208,13265
638,3971,64189
908,85612,80668
257,9661,65253
106,8564,86126
536,84542,6323
753,47634,48108
753,67996,85432
753,84274,11887
092,1914,68588
092,66340,2047
092,55828,85416
092,59207,81883
755,9125,12509
837,64061,11447
837,80535,2266
638,56711,85574
908,37342,13703
491,5630,56496
837,5103,80895
245,61500,2740
092,83842,66790
837,11465,3578
092,80065,74612
092,69007,71465
753,72124,13568
491,54801,8016
092,48588,4657
208,81786,55903
092,71609,7580
186,75595,57706
858,66445,83087
106,53204,34247
